ID,group,experimental_phase
413,Uncertainty,Baseline
413,Uncertainty,Experimental
414,No-Uncertainty,Baseline
414,No-Uncertainty,Experimental
415,No-Uncertainty,Baseline
415,No-Uncertainty,Experimental
416,Uncertainty,Baseline
416,Uncertainty,Experimental
417,Uncertainty,Baseline
417,Uncertainty,Experimental
418,Uncertainty,Baseline
418,Uncertainty,Experimental
419,Uncertainty,Baseline
419,Uncertainty,Experimental
420,No-Uncertainty,Baseline
420,No-Uncertainty,Experimental
421,No-Uncertainty,Baseline
421,No-Uncertainty,Experimental
422,No-Uncertainty,Baseline
422,No-Uncertainty,Experimental
494,No-Uncertainty,Baseline
494,No-Uncertainty,Experimental
495,Uncertainty,Baseline
495,Uncertainty,Experimental
496,Uncertainty,Baseline
496,Uncertainty,Experimental
497,Uncertainty,Baseline
497,Uncertainty,Experimental
498,No-Uncertainty,Baseline
498,No-Uncertainty,Experimental
499,No-Uncertainty,Baseline
499,No-Uncertainty,Experimental
500,Uncertainty,Baseline
500,Uncertainty,Experimental
501,No-Uncertainty,Baseline
501,No-Uncertainty,Experimental
